tijd,positie1,positie2
5.2801056021120419e-05,9.2659725311387298e-17,0.0000000000000000e+00
5.3401068021360421e-05,9.4921275396843506e-17,0.0000000000000000e+00
5.4001080021600430e-05,9.7214420685353540e-17,0.0000000000000000e+00
5.4601092021840432e-05,9.9539326374473829e-17,0.0000000000000000e+00
5.5201104022080435e-05,1.0189615850251884e-16,0.0000000000000000e+00
5.5801116022320444e-05,1.0428508395271685e-16,0.0000000000000000e+00
5.6401128022560446e-05,1.0670627045738533e-16,0.0000000000000000e+00
5.7001140022800455e-05,1.0915988660212648e-16,0.0000000000000000e+00
5.7601152023040457e-05,1.1164610183004288e-16,0.0000000000000000e+00
5.8201164023280459e-05,1.1416508644597310e-16,0.0000000000000000e+00
5.8801176023520468e-05,1.1671701162074788e-16,0.0000000000000000e+00
5.9401188023760470e-05,1.1930204939546632e-16,0.0000000000000000e+00
6.0001200024000479e-05,1.2192037268579286e-16,0.0000000000000000e+00
6.0601212024240482e-05,1.2457215528627449e-16,0.0000000000000000e+00
6.1201224024480484e-05,1.2725757187467895e-16,0.0000000000000000e+00
6.1801236024720493e-05,1.2997679801635322e-16,0.0000000000000000e+00
6.2401248024960502e-05,1.3273001016860335e-16,0.0000000000000000e+00
6.3001260025200497e-05,1.3551738568509477e-16,0.0000000000000000e+00
6.3601272025440506e-05,1.3833910282027391e-16,0.0000000000000000e+00
6.4201284025680515e-05,1.4119534073381087e-16,0.0000000000000000e+00
6.4801296025920511e-05,1.4408627949506315e-16,0.0000000000000000e+00
6.5401308026160520e-05,1.4701210008756098e-16,0.0000000000000000e+00
6.6001320026400529e-05,1.4997298441351382e-16,0.0000000000000000e+00
6.6601332026640524e-05,1.5296911529833853e-16,0.0000000000000000e+00
6.7201344026880533e-05,1.5600067649520900e-16,0.0000000000000000e+00
6.7801356027120542e-05,1.5906785268962770e-16,0.0000000000000000e+00
6.8401368027360538e-05,1.6217082950401885e-16,0.0000000000000000e+00
6.9001380027600547e-05,1.6530979350234353e-16,0.0000000000000000e+00
6.9601392027840556e-05,1.6848493219473699e-16,0.0000000000000000e+00
7.0201404028080551e-05,1.7169643404216781e-16,0.0000000000000000e+00
7.0801416028320560e-05,1.7494448846111945e-16,0.0000000000000000e+00
7.1401428028560569e-05,1.7822928582829399e-16,0.0000000000000000e+00
7.2001440028800564e-05,1.8155101748533858e-16,0.0000000000000000e+00
7.2601452029040573e-05,1.8490987574359390e-16,0.0000000000000000e+00
